"Time","Temp","WindDir","WindSpeed"
"Wed Feb 08 19:00:00 CET 2012","-3.0","NNE","1.0"
"Wed Feb 08 22:00:00 CET 2012","-4.0","NNE","2.0"
"Thu Feb 09 01:00:00 CET 2012","-6.0","NNE","2.0"
"Thu Feb 09 04:00:00 CET 2012","-7.0","NNE","1.0"
"Thu Feb 09 07:00:00 CET 2012","-8.0","NE","1.0"
"Thu Feb 09 10:00:00 CET 2012","-6.0","NE","2.0"
"Thu Feb 09 13:00:00 CET 2012","-2.0","ENE","4.0"
"Thu Feb 09 16:00:00 CET 2012","-1.0","NW","3.0"
"Thu Feb 09 19:00:00 CET 2012","-1.0","NNW","2.0"
"Thu Feb 09 22:00:00 CET 2012","-2.0","NNE","2.0"
"Fri Feb 10 01:00:00 CET 2012","-4.0","NE","2.0"
"Fri Feb 10 04:00:00 CET 2012","-7.0","NE","2.0"
"Fri Feb 10 07:00:00 CET 2012","-8.0","NE","2.0"
"Fri Feb 10 10:00:00 CET 2012","-6.0","NE","2.0"
"Fri Feb 10 13:00:00 CET 2012","-3.0","NE","3.0"
"Fri Feb 10 16:00:00 CET 2012","-2.0","ENE","3.0"
"Fri Feb 10 19:00:00 CET 2012","-4.0","NE","2.0"
"Fri Feb 10 22:00:00 CET 2012","-6.0","NE","3.0"
"Sat Feb 11 01:00:00 CET 2012","-7.0","NE","3.0"
"Sat Feb 11 04:00:00 CET 2012","-9.0","NE","2.0"
"Sat Feb 11 10:00:00 CET 2012","-9.0","NE","3.0"
"Sat Feb 11 13:00:00 CET 2012","-6.0","NNE","3.0"
"Sat Feb 11 16:00:00 CET 2012","-4.0","NE","3.0"
"Sat Feb 11 19:00:00 CET 2012","-5.0","NE","2.0"
"Sat Feb 11 22:00:00 CET 2012","-7.0","NNE","1.0"
"Sun Feb 12 01:00:00 CET 2012","-7.0","NNE","2.0"
"Sun Feb 12 04:00:00 CET 2012","-7.0","North","2.0"
